ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
,simple,,B? 6 dây ?àn classic Alice A106 và Capo Guitar PBA105SL,1,,visible,,,,,taxable,,1,,,,,,,,,,119.000 ?,200.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-6-day-d.jpg,,,,,,,,,
,simple,,B? h?p 6 dây ?àn ghi-ta Acoustic Alice A406  ,1,,visible,,,,,taxable,,1,,,,,,,,,,22.000 ?,50.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-hop-6-d.jpg,,,,,,,,,
,simple,,Dây ?àn guitar acoustic Alice Strings-A406,1,,visible,,,,,taxable,,1,,,,,,,,,,22.000 ?,50.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-dan-gu.jpg,,,,,,,,,
,simple,,B? Dây ?àn Guitar Classic Mings Nylon 2843 (Hãng phân ph?i b?i Ti?n M?nh Music),1,,visible,,,,,taxable,,1,,,,,,,,,,53.000 ?,79.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-Day-Dan.jpg,,,,,,,,,
,simple,,Dây ?àn Guitar Acoustic D&#x27;Addario EZ910,1,,visible,,,,,taxable,,1,,,,,,,,,,82.000 ?,160.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-Dan-Gu.jpg,,,,,,,,,
,simple,,"B? Dây ?àn Guitar Acoustic C? 11 D&#x27;Addario EJ13 - Hãng phân ph?i chính th?c (Strings 80/20 Bronze - Cam k?t 100% chính hãng USA, sai hoàn ti?n g?p 10 l?n)",1,,visible,,,,,taxable,,1,,,,,,,,,,125.000 ?,160.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-Day-Dan.jpg,,,,,,,,,
,simple,,Máy Lên Dây ?àn Guitar Tuner ET-33,1,,visible,,,,,taxable,,1,,,,,,,,,,69.000 ?,90.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/May-Len-Da.jpg,,,,,,,,,
,simple,,Combo 3 b? day Daddario cho guitar acoustic,1,,visible,,,,,taxable,,1,,,,,,,,,,250.000 ?,450.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Combo-3-bo.jpg,,,,,,,,,
,simple,,B? 2 h?p dây ?àn Guitar Acoustic Alice-A406 (2 h?p 12 dây),1,,visible,,,,,taxable,,1,,,,,,,,,,59.876 ?,99.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Bo-2-hop-d.jpg,,,,,,,,,
,simple,,Dây ?àn Guitar Classic Alice 106 (b? 6 dây + phím),1,,visible,,"<p><strong>D&acirc;y ?&agrave;n Guitar classic&nbsp;Alice A106</strong><br /> - D&acirc;y Alice A106 c&oacute; ch?t l??ng &acirc;m thanh t?t, ?? b?n cao, &iacute;t g? s&eacute;t<br /> - S?n ph?m g?m 1&nbsp;b? d&acirc;y classic Alice A106 (6 d&acirc;y)",,,taxable,,1,,,,,,,,,,39.000 ?,60.000 ?,Tshirts,,,http://localhost/wordpress-4.9.2/wordpress/wp-content/uploads/2018/05/Day-dan-Gu.jpg,,,,,,,,,
